"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"O08528|HXK2_MOUSE",23.1802342500264,21.7568550885576,22.5792307575664,21.9773581925921,22.4563646933914,19.5578305999542,22.1335596101126,21.543346706871,21.6580325279621,18.9485482358827,23.3966578223101,22.6854396287332
"O08529|CAN2_MOUSE",16.0851163889139,17.5107274727896,16.1538831786601,17.9531381816531,17.8316573958311,15.3265453531284,16.1167512863676,17.4202937460566,16.2291223007687,17.2136087176591,17.2313667031334,16.4117200087356
"O08532|CA2D1_MOUSE",17.0308936171079,18.1714159822606,18.5972934312798,18.0603804554049,18.0387079094185,19.3923815757949,18.3922151074907,17.7853829243923,17.5026347996069,18.0339937546534,17.7721772396653,17.4952015636101
"O08539|BIN1_MOUSE",17.9316232175773,17.6554193359563,18.902547055549,17.9151426634905,18.2142402781859,17.5039811335667,18.1980734324773,19.0587319227343,17.1112557131861,17.5809300365248,17.4408851416076,18.2823431492864
"O08553|DPYL2_MOUSE",18.3065833043017,18.6545754068778,17.8501736493521,18.5996033633424,18.8856708762243,16.6578931240204,18.6862551488544,18.5013543142915,18.7877524195966,18.2498543088561,18.579649242369,19.2194195443525
"O08583|THOC4_MOUSE",15.9699098980383,17.693516496073,20.8582445291316,18.0750509634413,16.5102600883444,17.272994020949,14.940229162141,18.8450980528815,16.9421919155067,19.5164224983493,15.751565921109,17.3310247716796
"O08585|CLCA_MOUSE",17.2244508443955,17.4278840597517,18.5106072607378,18.2728011640811,18.3336416711497,17.1260534679247,18.1158888840885,19.4108051331229,17.1406570507341,18.2680053489405,17.2833903603573,17.41935906682
"O08600|NUCG_MOUSE",15.9802944180021,15.2436392579373,14.3599659757942,15.3707970485536,15.7732397281471,18.2643531162709,14.7793404235481,14.406361014299,15.3554409179143,14.747966152515,17.5078811057974,15.8377418710315
"O08638|MYH11_MOUSE",18.8557576826088,18.8057871611687,18.4885170801031,20.2482715825409,19.1059079971802,20.4358564044389,19.0452037323912,17.0192081349844,19.0843594476761,19.6735833026333,18.9855133827987,18.7474525052063
"O08663|MAP2_MOUSE",13.1053323628557,12.7305219340163,12.4027017681627,12.8472621441242,12.673775534856,12.6795190693391,12.6471932933885,12.4479950344106,13.0874880351533,12.0051579836501,12.7056076151246,12.244707816814
"O08677|KNG1_MOUSE",17.4030596375859,18.1725510552148,18.0839564763142,18.3651924037195,18.3755713983475,17.3795410774059,18.3600593952857,18.5831103203404,17.3883973389946,17.9361965176665,18.3180959142136,17.9609560915056
